Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_end_150213,778,259,667,201,908
Chicken,CRBC_end_150213,754,261,650,220,909
Chicken,CRBC_end_150213,734,267,649,231,910
Chicken,CRBC_end_150213,784,259,678,221,908
Chicken,CRBC_end_150213,737,256,649,203,908
Chicken,CRBC_end_150213,807,261,656,225,909
Chicken,CRBC_end_150213,799,261,632,224,908
Chicken,CRBC_end_150213,753,262,669,217,908
Chicken,CRBC_end_150213,828,260,699,228,908
Chicken,CRBC_end_150213,795,261,643,224,909
Chicken,CRBC_end_150213,818,260,666,212,908
Chicken,CRBC_end_150213,810,262,652,227,908
Chicken,CRBC_end_150213,764,255,648,202,908
Chicken,CRBC_end_150213,755,261,640,227,909
Chicken,CRBC_end_150213,835,259,676,230,909
Chicken,CRBC_end_150213,782,259,645,226,908
Chicken,CRBC_end_150213,725,258,653,150,908
Chicken,CRBC_end_150213,834,314,702,426,962
Chicken,CRBC_end_150213,745,263,647,223,909
Chicken,CRBC_end_150213,689,262,607,213,909
Chicken,CRBC_end_150213,714,269,628,228,909
Chicken,CRBC_end_150213,735,264,649,221,909
Chicken,CRBC_end_150213,785,260,641,208,908
Chicken,CRBC_end_150213,802,261,643,219,909
Chicken,CRBC_end_150213,784,259,591,208,908
Chicken,CRBC_end_150213,729,260,641,222,909
Chicken,CRBC_end_150213,765,263,634,205,908
Chicken,CRBC_end_150213,750,260,642,225,908
Chicken,CRBC_end_150213,710,264,668,232,909
Chicken,CRBC_end_150213,804,260,627,215,908
Chicken,CRBC_end_150213,801,260,650,215,908
Chicken,CRBC_end_150213,787,262,652,225,909
Chicken,CRBC_end_150213,755,262,650,231,909
Chicken,CRBC_end_150213,794,257,639,204,908
Chicken,CRBC_end_150213,743,265,647,223,909
Chicken,CRBC_end_150213,771,258,635,195,908
Chicken,CRBC_end_150213,747,266,655,213,908
Chicken,CRBC_end_150213,797,258,617,199,908
Chicken,CRBC_end_150213,793,259,632,227,908
Chicken,CRBC_end_150213,747,261,615,232,909
Chicken,CRBC_end_150213,813,260,604,233,908
Chicken,CRBC_end_150213,758,260,621,204,908
Chicken,CRBC_end_150213,782,257,640,202,908
Chicken,CRBC_end_150213,773,261,638,229,908
Chicken,CRBC_end_150213,723,257,652,210,908
Chicken,CRBC_end_150213,777,262,655,226,909
Chicken,CRBC_end_150213,783,258,636,191,907
Chicken,CRBC_end_150213,762,260,624,226,909
Chicken,CRBC_end_150213,826,258,625,219,907
Chicken,CRBC_end_150213,827,261,650,253,909
Chicken,CRBC_end_150213,818,259,654,219,908
Chicken,CRBC_end_150213,805,260,610,217,908
Chicken,CRBC_end_150213,730,259,654,209,908
Chicken,CRBC_end_150213,788,263,646,231,909
Chicken,CRBC_end_150213,724,260,652,188,908
Chicken,CRBC_end_150213,924,716,817,1023,949
Chicken,CRBC_end_150213,771,261,647,210,909
Chicken,CRBC_end_150213,772,262,629,225,909
Chicken,CRBC_end_150213,741,268,642,225,908
Chicken,CRBC_end_150213,820,260,636,219,907
Chicken,CRBC_end_150213,759,261,669,233,909
Chicken,CRBC_end_150213,827,261,643,225,908
Chicken,CRBC_end_150213,787,261,640,221,908
Chicken,CRBC_end_150213,740,262,647,219,909
Chicken,CRBC_end_150213,792,260,652,214,908
Chicken,CRBC_end_150213,756,257,641,175,908
Chicken,CRBC_end_150213,791,259,658,222,908
Chicken,CRBC_end_150213,803,260,665,219,908
Chicken,CRBC_end_150213,718,262,636,223,909
Chicken,CRBC_end_150213,751,261,647,216,908
Chicken,CRBC_end_150213,698,264,638,216,909
Chicken,CRBC_end_150213,717,259,652,216,909
Chicken,CRBC_end_150213,735,263,601,211,909
Chicken,CRBC_end_150213,786,259,631,216,908
Chicken,CRBC_end_150213,788,259,636,199,908
Chicken,CRBC_end_150213,722,262,630,231,910
Chicken,CRBC_end_150213,741,258,612,145,908
Chicken,CRBC_end_150213,842,259,645,236,908
Chicken,CRBC_end_150213,845,453,697,461,963
Chicken,CRBC_end_150213,735,260,604,207,908
Chicken,CRBC_end_150213,756,260,637,225,910
Chicken,CRBC_end_150213,778,260,614,230,909
Chicken,CRBC_end_150213,750,257,641,206,908
Chicken,CRBC_end_150213,807,260,643,247,908
Chicken,CRBC_end_150213,653,262,640,174,910
Chicken,CRBC_end_150213,768,262,646,229,908
Chicken,CRBC_end_150213,731,259,642,230,909
Chicken,CRBC_end_150213,742,257,627,213,908
Chicken,CRBC_end_150213,772,260,626,221,908
Chicken,CRBC_end_150213,756,259,641,231,909
Chicken,CRBC_end_150213,796,259,636,207,908
